Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
196         84          5           64          20          0           0           0           0           4           .so                              /system/lib64/libmemmgrclient.z.so
56          24          1           16          8           0           0           0           0           4           .so                              /system/lib64/libmmi_rust_key_config.z.so
248         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libnapi_commoneventmanager.z.so
112         8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_avscreen_capture.so
492         80          3           64          16          0           0           0           0           4           .so                              /system/lib64/libnative_drawing_ndk.z.so
108         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libnative_image.so
64          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_media_codecbase.so
96          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libnative_media_core.so
52          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_media_vdec.so
56          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_media_venc.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_rdb_ndk_utils.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libnative_vsync.so
240         44          1           0           44          0           0           0           0           4           .so                              /system/lib64/libnetmanager_enhanced_service_if.z.so
164         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libnetwork_profiler.z.so
188         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libnotification_subscriber_extension.z.so
52          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libnotification_subscriber_ipc.z.so
296         76          4           64          12          0           0           0           0           4           .so                              /system/lib64/libnstackx_congestion.z.so
864         84          8           64          20          0           0           0           0           4           .so                              /system/lib64/libnstackx_dfile.z.so
368         80          4           64          16          0           0           0           0           4           .so                              /system/lib64/libnstackx_util.z.so
152         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libpasteboard_framework.z.so
160         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libperfmonitor.z.so
140         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libphoto_editor_extension.z.so
88          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libpreferences_jscommon.z.so
324         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libprint_extension_framework.z.so
40          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libpurgeable_pixelmap_builder.z.so
72          32          2           24          8           0           0           0           0           4           .so                              /system/lib64/libpurgeablemem.z.so
100         48          3           36          12          0           0           0           0           4           .so                              /system/lib64/libpurgeablemem_plugin.z.so
112         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libpush_fwk_base.z.so
476         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/libpush_utils_common.z.so
24          24          0           16          8           0           0           0           0           4           .so                              /system/lib64/libqos.z.so
36          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/librcp_dfx.z.so
136         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/librcp_network_listener.z.so
76          28          0           20          8           0           0           0           0           4           .so                              /system/lib64/librelational_common_base.z.so
9024        1372        119         964         408         0           0           0           0           4           .so                              /system/lib64/librender_service_base.z.so
2868        244         16          172         72          0           0           0           0           4           .so                              /system/lib64/librender_service_client.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libresourceManager_ani.z.so
1040        96          7           64          32          0           0           0           0           4           .so                              /system/lib64/librosen_text.z.so
484         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/librpc_taihe.z.so
40          24          0           12          12          0           0           0           0           4           .so                              /system/lib64/librtg_interface.z.so
136         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/libsamgr.dylib.so
20          20          0           12          8           0           0           0           0           4           .so                              /system/lib64/libseccomp.z.so
148         132         10          116         12          0           4           0           0           4           .so                              /system/lib64/libsecurity_component_sdk.z.so
40          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libsettings_common.z.so
60          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libshare_extension.z.so
29656       492         15          128         364         0           0           0           0           4           .so                              /system/lib64/libskia_canvaskit.z.so
28          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/libsocketpair.z.so
108         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libstatic_subscriber_extension.z.so
36          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libstatic_subscriber_ipc.z.so
1184        104         6           64          40          0           0           0           0           4           .so                              /system/lib64/libstd.dylib.so
64          64          1           52          12          0           0           0           0           4           .so                              /system/lib64/libtask_handler_wrap.z.so
44          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libthp_extra_innerapi.z.so
72          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libtime_guard_extension.z.so
528         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/libudmf_data_napi.z.so
608         92          3           64          28          0           0           0           0           4           .so                              /system/lib64/libui_extension.z.so
244         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libui_service_extension.z.so
72          44          1           28          16          0           0           0           0           4           .so                              /system/lib64/libui_service_extension_connection.z.so
76          20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libuiservice_manager_interface_set.z.so
60          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libuser_auth_extension.z.so
988         116         3           64          52          0           0           0           0           4           .so                              /system/lib64/libvideoprocessingengine.z.so
152         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libvpn_extension.z.so
368         360         35          332         24          0           4           0           0           4           .so                              /system/lib64/libvsync.z.so
548         80          8           64          16          0           0           0           0           4           .so                              /system/lib64/libvulkan.so
148         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libwallpaperextensionability.z.so
80          36          1           24          12          0           0           0           0           4           .so                              /system/lib64/libweb_configs.z.so
184         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libweb_extension.z.so
56          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libwebview_common.z.so
96          56          1           36          20          0           0           0           0           4           .so                              /system/lib64/libwindow_animation.z.so
172         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libwindow_extension.z.so
2896        592         24          412         180         0           0           0           0           4           .so                              /system/lib64/libwm.z.so
280         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/ability/libfeatureability.z.so
140         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/account/libosaccount.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libabilityconstant.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libabilitystage.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libconfigurationconstant.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libcontextconstant_napi.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libextensionability_napi.z.so
20          20          8           12          0           0           8           0           0           4           .so                              /system/lib64/module/app/ability/libserviceextensionability.z.so
24          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/app/ability/libuiability.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/app/ability/libuiextensionability_napi.z.so
24          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/application/libability_napi.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libabilitycontext_napi.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libabilitystage_napi.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libabilitystagecontext_napi.z.so
40          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libapplicationcontext_napi.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libcallee_napi.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libcaller_napi.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libcontext_napi.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libextensioncontext_napi.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libserviceextensionability_napi.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libserviceextensioncontext_napi.z.so
28          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/application/libwindowstage.z.so
16156       1124        54          1124        0           0           0           0           0           3           FilePage other                   /system/lib64/module/arkcompiler/stub.an
356         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/module/data/libdatashare.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/data/libdatasharepredicates.z.so
452         32          1           0           32          0           0           0           0           4           .so                              /system/lib64/module/data/libdistributedkvstore.z.so
164         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/data/libpreferences.z.so
740         36          1           0           36          0           0           0           0           4           .so                              /system/lib64/module/data/librelationalstore.z.so
224         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/file/libfileuri.z.so
112         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/file/libhash.z.so
216         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/file/libpicker.z.so
172         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/hiviewdfx/libhiappevent_napi.z.so
240         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/hms/core/libauthentication.z.so
220         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/hms/core/libhianalytics_napi.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/identifier/liboaid.z.so
244         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/module/libabilityaccessctrl.z.so
140         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/libanimator.z.so
40          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libbatteryinfo.z.so
212         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libbuffer.z.so
236         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/libbundle.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libcommoneventmanager.z.so
332         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libcontact.z.so
44          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libdeviceinfo.z.so
212         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/libdisplay_napi.z.so
468         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/libfileio.z.so
56          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libhiappevent.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libhilog.z.so
28          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libhitracemeter_napi.z.so
292         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/libi18n.z.so
344         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/module/libinputmethod.z.so
16          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libintl.z.so
132         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libmeasure.z.so
680         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/module/libnotificationmanager.z.so
384         32          1           0           32          0           0           0           0           4           .so                              /system/lib64/module/libpasteboard_napi.z.so
72          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libprocess.z.so
464         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/module/librequest.z.so
52          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libresourcemanager.z.so
112         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/librouter.z.so
68          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/librpc.z.so
188         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libsensor.z.so
184         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libsettings.z.so
72          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libsystemdatetime.z.so
140         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/liburi.z.so
248         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/liburl.z.so
232         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/libutil.z.so
124         8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/libvibrator.z.so
252         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/module/libwindow_napi.z.so
200         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/libworker.z.so
560         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/module/libzlib.z.so
1712        84          2           0           84          0           0           0           0           4           .so                              /system/lib64/module/multimedia/libaudio.z.so
1336        68          2           0           68          0           0           0           0           4           .so                              /system/lib64/module/multimedia/libavsession_napi.z.so
68          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/multimedia/libcamera_napi.z.so
28          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/multimedia/libimage.z.so
872         40          1           0           40          0           0           0           0           4           .so                              /system/lib64/module/multimedia/libmedia.z.so
272         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/module/multimodalinput/libinputdevice.z.so
400         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/security/libcert.z.so
344         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/security/libcryptoframework_napi.z.so
212         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/security/libhuks.z.so
296         56          1           0           56          0           0           0           0           4           .so                              /system/lib64/module/telephony/libradio.z.so
216         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/module/telephony/libsim.z.so
44          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/libarraylist.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/libhashmap.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/libhashset.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/libjson.z.so
48          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/liblist.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/module/util/libqueue.z.so
32          32          12          20          0           0           12          0           0           4           .so                              /system/lib64/nativestartuptask/librdo_ld.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libability_access_control.so
52          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libability_base_want.so
96          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libability_runtime.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libasset_ndk.z.so
24          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libdeviceinfo_ndk.z.so
860         784         12          756         24          0           4           0           0           4           .so                              /system/lib64/ndk/libffrt.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libhilog_ndk.z.so
24          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libhitrace_ndk.z.so
44          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libimage_common.so
48          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libimage_packer.so
88          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libimage_source.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libnative_color_space_manager.so
88          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libnative_display_manager.so
140         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libnative_drm.so
44          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libnative_media_acodec.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libnative_media_avcencinfo.so
280         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libnative_rdb_ndk.z.so
144         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libnative_window_manager.so
92          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libnet_connection.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libnet_ssl.so
292         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/ndk/libohaudio.so
216         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libohavsession.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libohbattery_info.so
72          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libohcommonevent.so
68          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libohfileuri.so
256         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/ndk/libohinput.so
164         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/ndk/libohinputmethod.so
108         44          1           36          8           0           0           0           0           4           .so                              /system/lib64/ndk/libohpreferences.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libohsensor.so
96          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libohweb.so
140         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libopenhitls_bsl.z.so
1096        20          0           0           20          0           0           0           0           4           .so                              /system/lib64/ndk/libopenhitls_crypto.z.so
136         8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libopenhitls_pki.z.so
296         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libopenhitls_tls.z.so
76          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/ndk/libpasteboard.so
56          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libpicture.so
60          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libpip_ndk.so
80          32          1           24          8           0           0           0           0           4           .so                              /system/lib64/ndk/libpixelmap.so
32          12          0           4           8           0           0           0           0           4           .so                              /system/lib64/ndk/libpixelmap_ndk.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libqos.so
52          28          1           20          8           0           0           0           0           4           .so                              /system/lib64/ndk/libsync_fence.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libtelephony_data.so
28          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libtelephony_radio.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/ndk/libtime_service_ndk.so
280         88          3           64          24          0           0           0           0           4           .so                              /system/lib64/ndk/libudmf.so
28          20          0           8           12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_business_error.z.so
40          28          0           16          12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_connect_callback_stub.z.so
316         236         7           212         24          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_context_native.z.so
28          20          0           8           12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_deps_wrapper.z.so
1220        712         53          624         84          0           4           0           0           4           .so                              /system/lib64/platformsdk/libability_manager.z.so
28          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_runtime_error_util.z.so
44          24          0           12          12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_start_options.z.so
28          28          0           20          8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_start_setting.z.so
344         276         11          240         36          0           0           0           0           4           .so                              /system/lib64/platformsdk/libability_thread.z.so
1448        580         29          516         60          0           4           0           0           4           .so                              /system/lib64/platformsdk/libabilitykit_native.z.so
52          52          0           40          12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libabilitykit_utils.z.so
5448        452         18          280         172         0           0           0           0           4           .so                              /system/lib64/platformsdk/libabilityms.z.so
20          12          0           4           8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libabsl_raw_logging_internal.z.so
108         56          4           48          8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libabsl_strings.z.so
20          12          0           4           8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libabsl_strings_internal.z.so
200         72          7           64          8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccessibility_common.z.so
600         112         8           56          56          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccessibility_interface.z.so
288         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccessibilityclient.z.so
204         92          8           64          28          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccessibilityconfig.z.so
256         72          2           60          12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccount_common.z.so
216         44          1           0           44          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccount_iam_innerkits.z.so
212         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccount_iam_napi.z.so
64          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccount_napi_common.z.so
116         48          1           28          20          0           0           0           0           4           .so                              /system/lib64/platformsdk/libaccountkits.z.so
76220       4792        176         0           4792        0           0           0           0           4           .so                              /system/lib64/platformsdk/libace_compatible.z.so
24          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/platformsdk/libace_container_scope.z.so
252         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/platformsdk/libace_form_render.z.so
36          36          5           28          4           0           4           0           0           4           .so                              /system/lib64/platformsdk/libace_forward_compatibility.z.so
