Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
44          28          1           16          12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libdisplay_buffer_proxy_1.4.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libdmabufheap.z.so
300         300         10          284         12          0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libeventhandler.z.so
36          16          0           8           8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libfaultloggerd.z.so
116         48          1           36          12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhdf_ipc_adapter.z.so
112         60          1           44          16          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhdi.z.so
104         32          1           20          12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhdi_base.z.so
204         204         6           192         8           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhicollie.z.so
272         268         2           252         16          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhilog.so
24          24          0           16          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhilog_encode.so
108         40          0           24          16          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhisysevent.z.so
76          72          4           60          8           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhitrace_meter.so
36          36          4           28          4           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libhitracechain.so
72          72          4           64          4           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libipc_common.z.so
508         504         6           484         20          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libipc_single.z.so
236         172         5           160         12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libjsoncpp.z.so
216         48          5           40          4           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/liblzma.z.so
180         40          1           32          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libpcre2.z.so
1256        148         8           128         20          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libprotobuf_lite.z.so
44          24          1           16          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libpub_utils.z.so
232         232         17          200         28          0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libressched_client.z.so
196         188         6           160         24          0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libsamgr_proxy.z.so
72          72          0           64          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libsec_shared.z.so
188         180         13          168         8           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libselinux.z.so
148         48          1           40          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libshared_libz.z.so
56          24          1           16          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libstack_printer.z.so
120         116         2           108         8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libstorage_manager_acl.z.so
548         104         5           64          40          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libsurface.z.so
72          68          0           60          8           0           0           0           0           5           .so                              /system/lib64/chipset-sdk-sp/libsystemparam.z.so
60          60          4           48          8           0           4           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libucollection_client.z.so
260         76          1           64          12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libunwinder.z.so
304         304         5           292         12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk-sp/libutils.z.so
160         92          2           64          28          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libaccesstoken_common_cxx.z.so
64          64          1           48          16          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libaccesstoken_communication_adapter_cxx.z.so
232         220         8           200         16          0           4           0           0           4           .so                              /system/lib64/chipset-sdk/libaccesstoken_sdk.z.so
772         8           0           0           8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libbrotli_shared.z.so
20          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libcamera_vendor_tag_proxy_1.0.z.so
788         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libcurl_shared.z.so
